,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,qvalue,-log(pvalue),-log(qvalue),BaseMean,log2(BaseMean),log2FC,abs(log2FC),sig
Postn,86783.77026230004,-0.04434551975986455,0.04171846051196939,-1.06297114552301,0.2877950368359581,0.6753557288083607,0.6753557288083607,0.5409166999523746,0.17046741181491257,86783.77026230004,16.405154267900688,-0.04434551975986455,0.04434551975986455,normal
Serpine1,159404.9855823789,0.644633137717492,0.0964995448052905,6.680167652792396,2.3866905235192927e-11,1.6659343394014002e-09,1.6659343394014002e-09,10.622203891274516,8.778342119734516,159404.9855823789,17.282346276963985,0.644633137717492,0.644633137717492,sig
Serpinh1,107579.29497152472,-0.015164075122205424,0.036830755856905734,-0.41172315825177874,0.6805423488891753,0.9091488791925415,0.9091488791925415,0.16714484427897844,0.04136499233638153,107579.29497152472,16.715054324169145,-0.015164075122205424,0.015164075122205424,normal
Igfbp5,45213.439484507966,-0.6809512466692613,0.04790153931651572,-14.215644348499668,7.327387791765944e-46,4.176916349131245e-43,4.176916349131245e-43,45.13505082342382,42.37914422223894,45213.439484507966,15.464495958516613,-0.6809512466692613,0.6809512466692613,sig
Nedd4,81623.01732004844,-0.18377037607012772,0.03709122041597732,-4.954551886110688,7.249716995664187e-07,2.5046307630727716e-05,2.5046307630727716e-05,6.139678946480083,4.601256289509119,81623.01732004844,16.31670609755888,-0.18377037607012772,0.18377037607012772,sig
Fstl1,83624.57732604592,0.08361521371707,0.019389225659644016,4.312457608407924,1.6144984450995508e-05,0.0003923259898296084,0.0003923259898296084,4.791962368909446,3.406352920864316,83624.57732604592,16.351656645274232,0.08361521371707,0.08361521371707,sig
mt-Cytb,77292.24335302618,0.16961266108391945,0.05321303360309507,3.187427019271725,0.0014354467800439838,0.018183654997946056,0.018183654997946056,2.8430129045688584,1.740318817159332,77292.24335302618,16.238054684939875,0.16961266108391945,0.16961266108391945,sig
Hspg2,82403.3672230475,-0.027373901997559645,0.11843228376844869,-0.23113547359332667,0.8172095572116655,0.9517033806712738,0.9517033806712738,0.08766656296467827,0.02149838797101259,82403.3672230475,16.33043317817242,-0.027373901997559645,0.027373901997559645,normal
Cald1,93832.40074713046,0.03018659568937398,0.03760711362079179,0.8026831304778669,0.4221579058025654,0.7808970165410879,0.7808970165410879,0.37452507322889966,0.10740623641328093,93832.40074713046,16.517813932513338,0.03018659568937398,0.03018659568937398,normal
Itgb1,87996.56831797482,0.014207412843880706,0.041126664603901006,0.34545502244626675,0.7297523181841813,0.92428567351179,0.92428567351179,0.1368245167263833,0.034193778504016246,87996.56831797482,16.42517603711677,0.014207412843880706,0.014207412843880706,normal
Ccn2,111866.93471896733,0.22614435759520862,0.04506615879041987,5.018052651145458,5.219787325910469e-07,1.8581546535205138e-05,1.8581546535205138e-05,6.282347191454656,4.730918142669921,111866.93471896733,16.77143704291172,0.22614435759520862,0.22614435759520862,sig
Serpinf1,76146.21376350954,0.003996232651169831,0.03752244219295718,0.10650246672696342,0.9151836983767013,0.9785542476207606,0.9785542476207606,0.038491724311647164,0.009415093573364649,76146.21376350954,16.216503628827912,0.003996232651169831,0.003996232651169831,normal
Tpm1,98098.68545413607,0.20948072615541033,0.04322227030891939,4.846592385319049,1.2560011320824193e-06,4.033650584042154e-05,4.033650584042154e-05,5.901009969152225,4.394301725358468,98098.68545413607,16.58196089015823,0.20948072615541033,0.20948072615541033,sig
Csf1,87906.50590566023,0.5004549968401649,0.053325067391473496,9.384985735999015,6.2924957838515635e-21,1.16334641647126e-18,1.16334641647126e-18,20.20117706676897,17.93429094360347,87906.50590566023,16.42369873343416,0.5004549968401649,0.5004549968401649,sig
Col6a1,73862.36655443283,-0.036364775284817456,0.03938131169891302,-0.9234018298537572,0.3557978384936523,0.7329203831770472,0.7329203831770472,0.44879669462514277,0.13494320001761323,73862.36655443283,16.1725713989397,-0.036364775284817456,0.036364775284817456,normal
Calu,76737.76688275402,0.019172483803575564,0.037779281943751554,0.5074867180408803,0.6118133533905659,0.884850495797009,0.884850495797009,0.21338104837038327,0.05313010143240698,76737.76688275402,16.227667961972184,0.019172483803575564,0.019172483803575564,normal
Tnc,90512.78390206044,0.46721024930060456,0.044869525742817364,10.412640685764208,2.171141091873878e-25,5.940676255585305e-23,5.940676255585305e-23,24.663311952947595,22.226164114387135,90512.78390206044,16.465849889456912,0.46721024930060456,0.46721024930060456,sig
