,log2FC_Treat_6h_vs_Control,padj_Treat_6h_vs_Control,log2FC_Treat_24h_vs_Control,padj_Treat_24h_vs_Control,log2FC_Treat_72h_vs_Control,padj_Treat_72h_vs_Control,Cluster,C_1,C_2,T_6_1,T_6_2,T_24_1,T_24_2,T_72_1,T_72_2
Ncapg,-0.20661576724461989,0.3099670202748529,-0.04805575968089794,0.8923881180426898,-1.776152278347098,1.1936242689928709e-23,1.0,4.783358947765538,4.82531271464511,4.636712306107509,4.556857531078958,4.7439816172056775,4.806288026394692,3.2743331907695916,2.8852974565476197
Polrmt,0.0883290796712198,0.8086368472717562,0.119961083796532,0.6907237738742441,-0.20316499744762495,0.25404041424540136,,4.534360723083308,4.417506034667719,4.557561376411983,4.553438401772797,4.700811127136491,4.517427393713949,4.187053513844089,4.269937760717109
Fam136a,0.20028287870662156,0.3816797554026827,0.10379360702577742,0.730805722720389,-0.26995226780751735,0.11614919763485992,,4.414587008457223,4.530762242118621,4.59683751706876,4.713651438621482,4.594210921917799,4.584494292147863,4.180576954306959,4.137453668513798
Pycr2,0.16097167409238694,0.5295513759597369,-0.1819878386469855,0.42245245279753074,-0.37229203967867436,0.01772755132170008,,4.572173057120352,4.557739633282903,4.778620116502919,4.641414976311313,4.417908197439235,4.400640963384195,4.1096217388371175,4.198795664436807
Ttc4,0.11194134275811775,0.731133051224558,0.08033861701109897,0.8150027183837276,-0.0016563228844676762,0.9934439595781233,,4.486895390795577,4.393373053391541,4.526059867447253,4.556857531078958,4.574553367224868,4.498890462913608,4.359424764783019,4.408067039077832
Rnmt,-0.10409490321477886,0.7470101286584586,-0.11161090616567204,0.6954917739102443,-0.3665465051512738,0.01755958667376704,,4.619215369144722,4.603769239226312,4.466457566658962,4.541407230344539,4.574553367224868,4.469765626932152,4.193501128642553,4.217971432445304
1110051M20Rik,0.01218940083122783,0.983893847814584,0.15518652742192582,0.6128463434512641,0.6157187857751111,4.4258466721959503e-05,,4.160630424538965,4.426681509267074,4.234936524997451,4.3634552168718495,4.421580533308004,4.50058551505214,4.796386111118363,4.861264458220587
Mrpl57,-0.026928802649930254,0.9519533066480972,-0.1573460628998335,0.5169317050993113,-0.43272192058430825,0.005002103712575438,,4.572173057120352,4.665528940194809,4.6085819448659056,4.560268576341064,4.472035216919476,4.498890462913608,4.102787227238909,4.196649204784363
Nxph4,-0.5823626686001906,0.0008511354692609786,0.22964897823337532,0.2852153909302929,0.715925055620948,3.756028296360103e-07,3.0,4.285385373301324,4.395243836549049,3.707680380646083,3.8590797079232484,4.520784835533824,4.630117086695497,4.851786896562419,5.08198566318667
Irx3,0.606129608210936,3.769178806651694e-05,0.45563790014246985,0.004727793640628437,0.6431097788587019,4.44509080116684e-05,,4.0410105907727605,4.129092038904874,4.677108900531693,4.628474419827318,4.58768811909528,4.480112250859211,4.49783675102199,4.771820758024201
